"CountryCode","SeriesCode","DESCRIPTION",
"AUS","SP.DYN.LE00.MA.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.TFRT.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.TO65.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.TO65.MA.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.0014.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.0014.MA.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.MA.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.MA.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.BRTH.MF","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.GROW","Data sources: Australian Bureau of Statistics",
"AUS","SP.POP.TOTL","Data sources : Australian Bureau of Statistics",
"AUS","SP.POP.TOTL.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.TOTL.MA.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUT","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
